rubro,estructura,ejemplo
ropa,"[Prenda] [genero/uso] [talle] [color]","Remera Algodon Unisex Talle M Negra"
ropa,"[Prenda] [beneficio] [temporada]","Campera Liviana Impermeable Media Estacion"
calzado,"[Tipo] [marca] [talle] [uso]","Zapatillas Urbanas Talle 42 Uso Diario"
calzado,"[Tipo] [material] [beneficio]","Botas Cuero Suela Antideslizante"
electronica,"[Producto] [marca/modelo] [capacidad]","Auriculares Bluetooth X200 Bateria Larga"
electronica,"[Producto] [compatibilidad] [beneficio]","Cargador Notebook 19v Compatible Lenovo"
celulares-accesorios,"[Accesorio] Para [modelo exacto]","Funda Silicona Para Samsung A54"
celulares-accesorios,"[Accesorio] [material] [beneficio]","Vidrio Templado 9h Antigolpes"
hogar,"[Producto] [medida] [ambiente]","Organizador Metalico 60cm Cocina"
hogar,"[Producto] [beneficio] [uso]","Lampara Led Bajo Consumo Escritorio"
belleza,"[Producto] [presentacion] [beneficio]","Serum Facial 30ml Hidratante"
belleza,"[Producto] [tipo de piel/cabello]","Shampoo Cabello Seco 500ml"
juguetes,"[Juguete] [edad recomendada]","Juego Didactico +3 Anios"
juguetes,"[Juguete] [material] [beneficio]","Bloques Encastre Grandes Colores"
repuestos,"[Repuesto] [codigo] [modelo]","Filtro Aire ABC123 Toyota Corolla"
repuestos,"[Repuesto] Compatible [marca/modelo]","Bomba Agua Compatible Fiat Palio"
libreria,"[Producto] [cantidad] [formato]","Cuaderno A4 Rayado Pack X5"
libreria,"[Producto] [uso] [cantidad]","Lapiceras Azules Oficina X10"
mascotas,"[Producto] [talle/medida] [animal]","Pretal Talle M Para Perro"
mascotas,"[Producto] [beneficio] [presentacion]","Cama Mascota Lavable Mediana"
ferreteria,"[Producto] [medida] [uso]","Mecha Madera 8mm Profesional"
ferreteria,"[Producto] [voltaje/material]","Taladro 220v Con Percutor"
alimentos-secos,"[Producto] [peso] [presentacion]","Cafe Molido 500g Pack Familiar"
alimentos-secos,"[Producto] [sabor/variedad] [cantidad]","Te Verde Saquitos X50"
