rubro,situacion,texto
ropa,comparacion,"Hola. Este modelo se diferencia por [material/calce/detalle]. Si buscas [uso], te recomiendo esta opcion por [beneficio]."
ropa,urgencia,"Hola. Si necesitas [prenda] para esta semana, conviene comprar hoy porque despachamos en [plazo] y el sistema calcula entrega por zona."
ropa,combo,"Hola. Si llevas [cantidad] prendas, puedo ayudarte a elegir talles y colores para armar un combo practico."
ropa,stock-bajo,"Hola. En [talle/color] queda stock limitado. La compra confirma la reserva automaticamente."
ropa,cambio-talle,"Hola. Para evitar cambio, revisa tabla de talles y medidas. Si me pasas [medida], te oriento antes de comprar."
ropa,reclamo-calidad,"Hola. Mandanos foto, numero de compra y detalle del problema. Revisamos el caso y te indicamos el siguiente paso."
ropa,recompra,"Hola. Si la prenda te resulto comoda, podemos avisarte cuando ingrese nuevo stock o colores similares."
ropa,cierre,"Si te sirve, podes comprar desde la publicacion y queda todo registrado para envio, pago y seguimiento."
calzado,comparacion,"Hola. Este calzado conviene si buscas [uso]. La diferencia principal es [suela/material/ajuste]."
calzado,urgencia,"Hola. Para recibirlo cuanto antes, revisa la fecha estimada que muestra la plataforma antes de pagar."
calzado,combo,"Hola. Si compras mas de un par, pasame talles y modelos para confirmar disponibilidad."
calzado,stock-bajo,"Hola. En talle [talle] queda poco stock. La reserva se confirma con la compra."
calzado,cambio-talle,"Hola. Te recomiendo comparar la medida de plantilla con un calzado que ya uses. Asi evitamos cambios."
calzado,reclamo-calidad,"Hola. Enviame foto de la falla, etiqueta y numero de compra para revisar garantia o cambio."
calzado,recompra,"Hola. Si te gusto el modelo, podemos recomendarte otro similar para uso diario o trabajo."
calzado,cierre,"Si el talle coincide, podes avanzar con la compra y coordinamos todo desde el chat de la operacion."
electronica,comparacion,"Hola. Este producto se diferencia por [potencia/capacidad/compatibilidad]. Para [uso], es la opcion mas conveniente."
electronica,urgencia,"Hola. Si lo necesitas rapido, revisa entrega estimada antes de pagar. Despachamos en [plazo]."
electronica,combo,"Hola. Puede combinarse con [accesorio]. Si quieres, te indico que accesorios compatibles convienen."
electronica,stock-bajo,"Hola. Quedan pocas unidades de [modelo]. La compra confirma stock al momento."
electronica,compatibilidad,"Hola. Para confirmar compatibilidad necesito [modelo/codigo/medida]. Con eso te respondo seguro."
electronica,reclamo-falla,"Hola. Mandanos detalle de la falla, foto/video y numero de compra para iniciar revision."
electronica,recompra,"Hola. Si necesitas otro equipo o accesorio compatible, pasame el modelo y te orientamos."
electronica,cierre,"Si el modelo es compatible, podes comprar desde la publicacion y conservar garantia y comprobante."
celulares-accesorios,comparacion,"Hola. Esta opcion conviene para [modelo] porque [beneficio]. Si buscas [uso], es la mas practica."
celulares-accesorios,urgencia,"Hola. Si lo necesitas pronto, compra hoy y el sistema te confirma fecha estimada antes del pago."
celulares-accesorios,combo,"Hola. Podemos combinar [accesorio] con [otro accesorio]. Pasame modelo de celular para confirmar."
celulares-accesorios,stock-bajo,"Hola. Para [modelo/color] queda stock limitado. Se reserva al comprar."
celulares-accesorios,compatibilidad,"Hola. Necesito modelo exacto del celular para confirmar compatibilidad antes de que compres."
celulares-accesorios,reclamo-falla,"Hola. Mandanos foto/video, modelo del celular y numero de compra para revisar el caso."
celulares-accesorios,recompra,"Hola. Si te sirvio el accesorio, tambien tenemos opciones compatibles para [uso]."
celulares-accesorios,cierre,"Si coincide con tu modelo, podes comprar tranquilo desde la publicacion."
hogar,comparacion,"Hola. Este producto sirve para [ambiente/uso]. La diferencia principal es [medida/material/capacidad]."
hogar,urgencia,"Hola. Para entrega rapida, revisa plazo estimado en la plataforma. Despachamos en [plazo]."
hogar,combo,"Hola. Si queres armar un set, pasame ambiente, medidas y cantidad para orientarte."
hogar,stock-bajo,"Hola. Queda stock limitado de [producto/color]. La compra lo confirma."
hogar,medidas,"Hola. Para confirmar si entra en tu espacio, pasame medida aproximada y te ayudo a revisar."
hogar,reclamo-danio,"Hola. Enviame foto del producto, embalaje y numero de compra para revisar solucion."
hogar,recompra,"Hola. Si te sirvio, podemos recomendarte complementos para el mismo ambiente."
hogar,cierre,"Si las medidas te sirven, podes avanzar con la compra y coordinamos entrega por la plataforma."
belleza,comparacion,"Hola. Este producto conviene para [tipo de piel/cabello/uso]. La diferencia es [beneficio]."
belleza,urgencia,"Hola. Si lo necesitas pronto, revisa fecha estimada antes de pagar. Despachamos en [plazo]."
belleza,combo,"Hola. Se puede combinar con [producto complementario]. Si me decis tu objetivo, te recomiendo rutina."
belleza,stock-bajo,"Hola. Quedan pocas unidades de [producto]. La compra confirma disponibilidad."
belleza,compatibilidad,"Hola. Para recomendarte mejor, decime [tipo de piel/cabello/necesidad]."
belleza,reclamo-calidad,"Hola. Mandanos foto, lote si figura y numero de compra para revisar el caso."
belleza,recompra,"Hola. Si te resulto bien, conviene reponer cada [plazo] segun uso."
belleza,cierre,"Si es lo que buscas, podes comprar desde la publicacion y queda lista la entrega."
ferreteria,comparacion,"Hola. Esta herramienta conviene para [uso]. La diferencia principal es [medida/material/potencia]."
ferreteria,urgencia,"Hola. Para recibirla rapido, revisa plazo estimado antes de pagar. Despachamos en [plazo]."
ferreteria,combo,"Hola. Para ese trabajo tambien puede servir [accesorio/insumo]. Pasame uso exacto y te oriento."
ferreteria,stock-bajo,"Hola. Queda stock limitado de [medida/modelo]. La compra confirma reserva."
ferreteria,compatibilidad,"Hola. Para confirmar compatibilidad necesito [medida/modelo/codigo]."
ferreteria,reclamo-falla,"Hola. Mandanos detalle, foto/video y numero de compra para revisar garantia."
ferreteria,recompra,"Hola. Si haces trabajos frecuentes, puedo sugerirte insumos complementarios."
ferreteria,cierre,"Si la medida es correcta, podes comprar desde la publicacion y queda todo registrado."
mascotas,comparacion,"Hola. Este producto conviene para [tamanio/edad/necesidad]. La diferencia es [beneficio]."
mascotas,urgencia,"Hola. Si lo necesitas pronto, compra hoy y revisa entrega estimada antes de pagar."
mascotas,combo,"Hola. Podemos combinar [producto] con [complemento]. Decime tamanio/edad de tu mascota."
mascotas,stock-bajo,"Hola. Queda stock limitado de [producto/variante]. La reserva se confirma con la compra."
mascotas,compatibilidad,"Hola. Para recomendarte mejor, decime raza, tamanio, edad o necesidad principal."
mascotas,reclamo-calidad,"Hola. Enviame foto, lote si aplica y numero de compra para revisar el caso."
mascotas,recompra,"Hola. Si lo usa seguido, conviene calcular reposicion cada [plazo]."
mascotas,cierre,"Si te sirve para tu mascota, podes avanzar con la compra desde la publicacion."
repuestos,comparacion,"Hola. Este repuesto sirve para [modelo/codigo]. La diferencia principal es [compatibilidad/calidad]."
repuestos,urgencia,"Hola. Si lo necesitas para reparar rapido, confirma compatibilidad y compra hoy para despachar en [plazo]."
repuestos,combo,"Hola. Para esa reparacion tambien puede hacer falta [pieza/insumo]. Pasame modelo y te oriento."
repuestos,stock-bajo,"Hola. Queda poco stock de [codigo/modelo]. La compra confirma reserva."
repuestos,compatibilidad,"Hola. Necesito marca, modelo, anio o codigo para confirmar compatibilidad antes de comprar."
repuestos,reclamo-falla,"Hola. Mandanos foto, codigo de pieza y numero de compra para revisar el reclamo."
repuestos,recompra,"Hola. Si haces mantenimiento, podemos sugerirte piezas complementarias segun modelo."
repuestos,cierre,"Si el codigo coincide, podes comprar desde la publicacion y queda registrado el envio."
