rubro,situacion,texto
ropa,stock,"Hola. Tenemos stock de [prenda] en [talle/color]. Si queres, podes avanzar con la compra y queda confirmado."
ropa,medidas,"Hola. Para [prenda], te recomiendo revisar largo, ancho y tabla de talles. Si me pasas tus medidas, te oriento mejor."
ropa,cambio,"Hola. Los cambios de [prenda] se gestionan segun las condiciones de la publicacion. Conserva etiqueta y comprobante."
ropa,envio,"Hola. Despachamos [prenda] en [plazo]. El sistema te muestra el tiempo estimado segun tu zona antes de pagar."
ropa,precio,"Hola. El precio vigente de [prenda] es el publicado. Si llevas mas unidades, decime cantidad y reviso disponibilidad."
ropa,cierre,"Si te sirve [prenda], podes comprar desde la publicacion. Quedo atento por talle, color o envio."
calzado,stock,"Hola. Tenemos disponible [calzado] en talle [talle]. La reserva se confirma con la compra aprobada."
calzado,medidas,"Hola. Para evitar cambios, compara la plantilla interna de [calzado] con un par que ya uses."
calzado,cambio,"Hola. El cambio de [calzado] aplica si esta sin uso y con empaque en condiciones, segun politica del canal."
calzado,envio,"Hola. Enviamos [calzado] por las opciones disponibles en la publicacion. El plazo lo informa la plataforma."
calzado,precio,"Hola. El precio de [calzado] es el publicado. Si hay promocion activa, se ve antes de pagar."
calzado,cierre,"Si el talle te queda bien, podes avanzar con la compra de [calzado] y te queda confirmado."
electronica,stock,"Hola. Tenemos stock de [producto electronico]. La disponibilidad puede cambiar, se confirma al comprar."
electronica,compatibilidad,"Hola. Para confirmar compatibilidad de [producto electronico], pasame modelo exacto o ficha tecnica."
electronica,garantia,"Hola. [producto electronico] cuenta con garantia segun lo informado. Conserva comprobante y empaque."
electronica,envio,"Hola. Despachamos [producto electronico] protegido para envio. El plazo depende de tu zona."
electronica,precio,"Hola. El precio publicado de [producto electronico] es el vigente al momento de la compra."
electronica,cierre,"Si [producto electronico] es compatible con tu equipo, podes comprar y seguimos por el chat de la compra."
celulares-accesorios,stock,"Hola. Tenemos disponible [accesorio] para [modelo]."
celulares-accesorios,compatibilidad,"Hola. Confirmame el modelo exacto del celular para validar que [accesorio] sea compatible."
celulares-accesorios,medidas,"Hola. [accesorio] sirve para [modelo/medida]. Si tu equipo cambia en una letra o version, conviene confirmar."
celulares-accesorios,envio,"Hola. Enviamos [accesorio] en [plazo]. El sistema te informa el tiempo final antes de pagar."
celulares-accesorios,precio,"Hola. El precio de [accesorio] es el publicado. Si compras varias unidades, indicanos cantidad."
celulares-accesorios,cierre,"Si tu modelo coincide, podes avanzar con [accesorio] y queda confirmado."
hogar,stock,"Hola. Tenemos stock de [producto hogar]. Podes comprar directamente desde la publicacion."
hogar,medidas,"Hola. Para [producto hogar], revisa medidas antes de comprar. Si me pasas el espacio disponible, lo verificamos."
hogar,envio,"Hola. El envio de [producto hogar] se calcula segun zona, peso y opciones disponibles."
hogar,garantia,"Hola. [producto hogar] cuenta con garantia segun publicacion. No cubre mal uso ni instalacion incorrecta."
hogar,precio,"Hola. El precio vigente de [producto hogar] es el publicado. Puede variar por promocion o stock."
hogar,cierre,"Si las medidas te sirven, podes comprar [producto hogar] y coordinamos por el canal de la compra."
belleza,stock,"Hola. Tenemos disponible [producto belleza]. La compra confirma la reserva."
belleza,uso,"Hola. [producto belleza] se usa segun indicaciones del envase. Si tenes una condicion particular, consulta con un profesional."
belleza,envio,"Hola. Despachamos [producto belleza] bien protegido en [plazo]."
belleza,vencimiento,"Hola. La fecha/lote de [producto belleza] es [dato]. Si necesitas una fecha especifica, consultanos antes."
belleza,precio,"Hola. El precio de [producto belleza] es el publicado. Si llevas mas unidades, revisamos disponibilidad."
belleza,cierre,"Si te sirve [producto belleza], podes avanzar con la compra desde la publicacion."
juguetes,stock,"Hola. Tenemos stock de [juguete]."
juguetes,edad,"Hola. [juguete] esta recomendado para [edad]. Revisar siempre advertencias y uso supervisado si corresponde."
juguetes,envio,"Hola. Enviamos [juguete] en [plazo]. El plazo final lo informa la plataforma."
juguetes,medidas,"Hola. Las medidas aproximadas de [juguete] son [medidas]."
juguetes,precio,"Hola. El precio publicado de [juguete] es el vigente."
juguetes,cierre,"Si [juguete] es para la edad indicada, podes comprar y queda confirmado."
repuestos,stock,"Hola. Tenemos disponible [repuesto]."
repuestos,compatibilidad,"Hola. Para confirmar [repuesto], necesito marca, modelo, anio o codigo de pieza."
repuestos,medidas,"Hola. Compara medida/codigo de [repuesto] antes de comprar para evitar devoluciones."
repuestos,envio,"Hola. Despachamos [repuesto] en [plazo]. El plazo final depende de tu zona."
