canal,situacion,tono,texto
Mercado Libre,envio,claro,"Hola. Si, hacemos envios de [producto]. El plazo exacto lo ves antes de pagar segun tu zona. Despachamos [plazo]."
Mercado Libre,envio,cercano,"Hola, gracias por consultar. Si, enviamos [producto]. Compra tranquilo que la plataforma te muestra el plazo antes de confirmar."
Mercado Libre,envio,firme,"Hola. El envio de [producto] se gestiona por las opciones habilitadas en la publicacion. El plazo final lo informa la plataforma."
Mercado Libre,stock,claro,"Hola. Tenemos stock disponible de [producto]. Podes comprar directamente desde la publicacion."
Mercado Libre,stock,cercano,"Hola. Si, tenemos [producto] disponible. Si avanzas ahora, queda confirmado con la compra."
Mercado Libre,stock,firme,"Hola. Stock disponible al momento de esta respuesta. La reserva se confirma unicamente con compra aprobada."
Mercado Libre,medidas,claro,"Hola. Para confirmar compatibilidad de [producto], pasanos [dato necesario]. Asi evitamos cambios."
Mercado Libre,medidas,cercano,"Hola. Te ayudo con eso. Enviame [dato necesario] y te confirmo si [producto] sirve para tu caso."
Mercado Libre,medidas,firme,"Hola. Sin [dato necesario] no conviene avanzar, porque puede no ser compatible. Pasanos ese dato y verificamos."
Mercado Libre,garantia,claro,"Hola. [producto] cuenta con garantia segun lo informado en la publicacion. Conserva el comprobante."
Mercado Libre,garantia,cercano,"Hola. Si, la compra queda respaldada. Si surge algo, escribinos desde el chat de la compra."
Mercado Libre,garantia,firme,"Hola. La garantia aplica bajo las condiciones informadas y no cubre mal uso, golpes ni daños externos."
Mercado Libre,factura,claro,"Hola. Si, emitimos factura. Carga correctamente tus datos fiscales antes de finalizar la compra."
Mercado Libre,factura,cercano,"Hola. Si, podemos facturar. Revisa que tus datos esten bien cargados al comprar."
Mercado Libre,factura,firme,"Hola. La factura se emite con los datos cargados en la compra. No podemos cambiar datos fiscales ya facturados."
Mercado Libre,precio,claro,"Hola. El precio vigente es el publicado. Si hay promocion activa, aparece aplicada antes de pagar."
Mercado Libre,precio,cercano,"Hola. Por ahora el precio es el publicado. Si queres varias unidades, decime cantidad y lo revisamos."
Mercado Libre,precio,firme,"Hola. El precio publicado es el valido al momento de compra. No reservamos precio sin compra confirmada."
Mercado Libre,retiro,claro,"Hola. Si la publicacion muestra retiro, la direccion se informa luego de comprar. Tambien podes elegir envio si aparece disponible."
Mercado Libre,retiro,cercano,"Hola. Revisa las opciones de entrega en la publicacion. Si te figura retiro, coordinamos por el chat de la compra."
Mercado Libre,retiro,firme,"Hola. La entrega se realiza solo por las opciones habilitadas en la publicacion. Coordinamos luego de la compra."
Mercado Libre,devolucion,claro,"Hola. Para cambio o devolucion, escribinos desde el chat de la compra con el detalle del caso."
Mercado Libre,devolucion,cercano,"Hola. Lo vemos. Mandanos el detalle desde la compra y te indicamos el proximo paso."
Mercado Libre,devolucion,firme,"Hola. Cambios y devoluciones se gestionan por el canal de la compra y segun las condiciones aplicables."
Mercado Libre,reclamo,claro,"Hola. Lamentamos el inconveniente. Envia foto o detalle por el chat de la compra para revisarlo."
Mercado Libre,reclamo,cercano,"Hola. Gracias por avisar. Queremos ayudarte. Pasanos el detalle desde la compra y lo revisamos."
Mercado Libre,reclamo,firme,"Hola. Para analizar el reclamo necesitamos evidencia, numero de compra y detalle del inconveniente."
WhatsApp,envio,claro,"Hola. Si, enviamos [producto]. Decime tu zona o codigo postal y te confirmo costo y plazo."
WhatsApp,envio,cercano,"Hola, gracias por escribir. Pasame tu zona y te digo la mejor opcion para enviarte [producto]."
WhatsApp,envio,firme,"Hola. Para cotizar envio necesito zona, cantidad y forma de entrega preferida."
WhatsApp,stock,claro,"Hola. Si, tenemos [producto] disponible. Puedo reservarlo cuando confirmes pago o seña."
WhatsApp,stock,cercano,"Hola. Si, queda stock de [producto]. Si te sirve, te paso medios de pago y coordinamos."
WhatsApp,stock,firme,"Hola. Hay stock ahora, pero no se reserva sin pago o confirmacion acordada."
WhatsApp,medidas,claro,"Para confirmarte bien, pasame [dato necesario]. Asi vemos si [producto] te sirve."
WhatsApp,medidas,cercano,"Dale, te ayudo. Mandame foto o medida de referencia y lo comparo con [producto]."
WhatsApp,medidas,firme,"Antes de avanzar necesito validar [dato necesario]. Si no coincide, puede requerir cambio."
WhatsApp,precio,claro,"El precio de [producto] es [precio]. Incluye [incluye]. El envio se calcula aparte segun zona."
WhatsApp,precio,cercano,"Te paso precio: [precio]. Si queres, tambien veo promo por cantidad."
WhatsApp,precio,firme,"Precio vigente: [precio]. Puede cambiar sin reserva confirmada."
WhatsApp,reclamo,claro,"Lamento el inconveniente. Mandame numero de compra, foto y detalle para revisarlo hoy."
WhatsApp,reclamo,cercano,"Gracias por avisar. Enviame una foto y el detalle asi lo resolvemos de la mejor manera."
WhatsApp,reclamo,firme,"Para gestionar el reclamo necesito comprobante, fotos claras y descripcion del problema."
Instagram,stock,claro,"Hola. Si, tenemos [producto]. Te paso precio y opciones de entrega por mensaje."
Instagram,stock,cercano,"Hola, gracias por escribir. Si, queda disponible. Te paso info por aca."
Instagram,stock,firme,"Hola. Stock sujeto a confirmacion por pago. Decime cantidad y zona."
Instagram,precio,claro,"Hola. [producto] cuesta [precio]. Podemos coordinar envio o retiro segun tu zona."
Instagram,precio,cercano,"Hola. Te cuento: [producto] esta [precio]. Si queres, te paso opciones de pago."
Instagram,precio,firme,"Precio vigente: [precio]. La reserva se confirma con pago."
Instagram,medidas,claro,"Hola. Para medidas de [producto], te paso detalle: [medidas]. Si necesitas otra, decime."
Instagram,medidas,cercano,"Hola. Si, te paso medidas. Tambien puedo compararlo con una referencia que tengas."
Instagram,mayorista,claro,"Hola. Para mayorista, decime cantidad aproximada y zona. Te armamos una propuesta."
Instagram,mayorista,cercano,"Hola. Si, trabajamos cantidad. Pasame unidades y vemos un precio mejor."
Tienda propia,envio,claro,"Gracias por tu consulta. Realizamos envios de [producto]. El plazo estimado es [plazo] segun destino."
