uso,prompt
Titulo ML,"Actua como especialista en ecommerce argentino. Escribi 8 titulos claros para publicar [producto], incluyendo marca, modelo, medida y beneficio principal sin exagerar."
Descripcion ML,"Escribi una descripcion breve para [producto] con: que incluye, para quien sirve, medidas, garantia, envio y preguntas frecuentes."
Ficha tecnica,"Transforma estos datos en una ficha tecnica escaneable para una publicacion online: [datos]."
Beneficios,"Lista 6 beneficios reales de [producto] para compradores que comparan precio, calidad y entrega."
Fotos,"Dame una lista de 10 fotos necesarias para vender [producto] online y reducir preguntas repetidas."
FAQ,"Genera 12 preguntas frecuentes de compradores sobre [producto] con respuestas cortas y honestas."
Comparacion,"Crea una comparacion simple entre [producto] y [alternativa] para ayudar al comprador a decidir."
WhatsApp venta,"Escribi un mensaje de WhatsApp para responder a alguien interesado en [producto], pedir zona y cerrar el siguiente paso."
Instagram DM,"Escribi una respuesta de Instagram DM para una consulta sobre precio y stock de [producto], con tono cercano."
Objecion precio,"Dame 5 respuestas respetuosas para cuando el comprador pide descuento en [producto]."
Objecion demora,"Dame 5 respuestas para explicar demora de envio sin sonar defensivo."
Reclamo inicial,"Escribi un primer mensaje para reclamo postventa de [producto], pidiendo datos y mostrando predisposicion."
Postventa,"Escribi un mensaje postventa para confirmar si el comprador recibio [producto] correctamente."
Mayorista,"Crea un texto para responder consultas mayoristas de [producto], pidiendo cantidad, zona y frecuencia de compra."
Combo,"Dame 5 ideas de combos con [producto] para subir ticket promedio."
Publicacion redes,"Escribi 5 captions para promocionar [producto] en Instagram con CTA a mensaje directo."
Marketplace fuera ML,"Escribi un texto corto para publicar [producto] en Marketplace, con precio, zona y entrega."
Garantia,"Redacta condiciones de garantia claras para [producto], evitando promesas absolutas."
Devolucion,"Redacta una politica de cambio/devolucion simple para [producto], con tono claro y respetuoso."
Checklist SEO,"Analiza esta publicacion de [producto] y dime que falta para que el comprador entienda rapido: [texto]."
Mejora titulo,"Mejora este titulo para que sea mas claro y buscable, sin clickbait: [titulo]."
Mejora descripcion,"Reescribi esta descripcion para que sea mas ordenada, confiable y facil de leer: [descripcion]."
Respuesta corta,"Converti esta respuesta en una version de menos de 240 caracteres: [texto]."
Respuesta amable,"Reescribi esta respuesta con tono mas amable pero directo: [texto]."
Respuesta firme,"Reescribi esta respuesta con tono firme y profesional, sin pelear con el cliente: [texto]."
Categoria tecnica,"Crea preguntas filtro para validar compatibilidad antes de vender [producto tecnico]."
Categoria indumentaria,"Crea una guia de talles simple y preguntas para evitar cambios en [producto de indumentaria]."
Categoria hogar,"Crea una lista de medidas, materiales y cuidados para publicar [producto de hogar]."
Categoria repuestos,"Crea una respuesta para confirmar modelo, año, version y compatibilidad de [repuesto]."
Metricas,"Dame una tabla simple para medir consultas, respuestas, ventas y problemas por publicacion."
