objecion,respuesta_clara,respuesta_cercana,respuesta_firme
"Esta mas barato en otro lado","Hola. Puede variar por stock, garantia, envio o condiciones. Nuestro precio incluye [beneficio].","Entiendo. Si comparas, revisa que incluya [beneficio/envio/garantia]. Aca lo tenes con esas condiciones.","El precio publicado es el vigente para esta publicacion e incluye las condiciones informadas."
"Me haces descuento?","Hola. El precio actual es el publicado. Si llevas [cantidad], puedo revisar una opcion por volumen.","Por ahora ese es el precio vigente. Si compras varias unidades, contame cantidad y lo vemos.","No aplicamos descuento individual fuera de las promociones publicadas."
"El envio es caro","Hola. El costo de envio lo calcula la plataforma segun zona y modalidad. Si aparece otra opcion, podes elegirla antes de pagar.","Entiendo. Revisalo con tu codigo postal porque a veces cambia por zona o metodo de entrega.","El envio se calcula por plataforma y no podemos modificarlo manualmente."
"Puedo pagar despues?","Hola. La compra se confirma con el pago. Asi se reserva stock y queda registrada la operacion.","Para reservarlo necesitamos que la compra quede confirmada. Apenas se acredita, lo preparamos.","No reservamos stock sin pago confirmado."
"Me llega hoy?","Hola. La fecha final la muestra la plataforma antes de pagar segun tu zona. Nosotros despachamos en [plazo].","Si estas cerca puede figurar entrega rapida. Revisa la fecha estimada antes de confirmar.","No prometemos entrega fuera de la fecha indicada por la plataforma."
"Tenes garantia?","Hola. Si, aplica la garantia indicada en la publicacion. Conserva comprobante y avisamos pasos si surge algo.","Si, la compra queda respaldada. Si hay inconveniente, nos escribis por el chat de la compra.","La garantia aplica bajo condiciones informadas y no cubre mal uso o danos externos."
"No se si me sirve","Hola. Pasame [dato clave] y te confirmo si es compatible antes de comprar.","Te ayudo a revisarlo. Mandame modelo, medida o uso y lo vemos.","Sin confirmar compatibilidad no conviene avanzar."
"Me lo reservas?","Hola. La reserva se confirma al comprar porque el stock cambia rapido.","Si te interesa, lo mejor es comprar para que quede reservado automaticamente.","No hacemos reservas manuales sin compra confirmada."
"Puedo cambiarlo?","Hola. Los cambios se gestionan segun condiciones de la publicacion y por el canal de compra.","Si surge un cambio, nos escribis desde la compra y revisamos el caso.","Los cambios se manejan solo por el canal oficial de la operacion."
"Me pasas WhatsApp?","Hola. Para seguridad y registro, respondemos por el canal de la compra/publicacion.","Por aca podemos ayudarte y queda todo registrado para cualquier gestion.","La atencion se realiza por el canal habilitado de la plataforma."
