area,punto,estado,nota
titulo,Incluye producto principal,pendiente,
titulo,Incluye marca o linea si aporta confianza,pendiente,
titulo,Incluye modelo medida talle color o compatibilidad,pendiente,
titulo,Evita palabras de relleno o promesas vagas,pendiente,
titulo,Se entiende sin abrir la publicacion,pendiente,
fotos,Primera foto muestra claramente el producto,pendiente,
fotos,Hay foto de detalle relevante,pendiente,
fotos,Hay foto de medidas etiqueta o escala si aplica,pendiente,
fotos,Las variantes se distinguen bien,pendiente,
fotos,No hay texto excesivo que tape el producto,pendiente,
descripcion,Explica que incluye,pendiente,
descripcion,Explica para quien sirve,pendiente,
descripcion,Incluye medidas o compatibilidad,pendiente,
descripcion,Incluye materiales especificaciones o contenido,pendiente,
descripcion,Aclara limitaciones importantes,pendiente,
descripcion,Incluye garantia o condiciones,pendiente,
descripcion,Responde dudas de envio o retiro,pendiente,
descripcion,Responde dudas de factura,pendiente,
precio,Costo real calculado,pendiente,
precio,Comision estimada revisada,pendiente,
precio,Envio absorbido contemplado,pendiente,
precio,Impuestos o percepciones contemplados,pendiente,
precio,Margen minimo definido,pendiente,
precio,Precio comparado contra alternativas reales,pendiente,
precio,Existe opcion de combo o pack,pendiente,
envio,Plazo de despacho claro,pendiente,
envio,Zonas o modalidad aclaradas,pendiente,
envio,No promete mas de lo que la plataforma informa,pendiente,
stock,Variantes disponibles actualizadas,pendiente,
stock,No ofrece opciones agotadas,pendiente,
stock,Se aclara reserva por compra confirmada si aplica,pendiente,
preguntas,Hay respuesta para stock,pendiente,
preguntas,Hay respuesta para envio,pendiente,
preguntas,Hay respuesta para medidas compatibilidad,pendiente,
preguntas,Hay respuesta para garantia,pendiente,
preguntas,Hay respuesta para factura,pendiente,
preguntas,Hay respuesta para precio descuento,pendiente,
preguntas,Hay respuesta para cambio devolucion,pendiente,
postventa,Proceso de reclamo claro,pendiente,
postventa,Se piden datos minimos para revisar problemas,pendiente,
postventa,Mensaje de seguimiento preparado,pendiente,
conversion,Existe cierre claro del siguiente paso,pendiente,
conversion,La publicacion reduce dudas repetidas,pendiente,
