caso,primer_objetivo,respuesta_base,datos_a_pedir,evitar
Producto no llego,Ubicar estado,"Hola. Revisemos el estado del envio para ayudarte. Pasanos numero de compra y captura del seguimiento.","numero de compra; captura de seguimiento","culpar al correo sin revisar"
Producto llego dañado,Documentar evidencia,"Lamentamos lo ocurrido. Envia fotos del embalaje, producto y etiqueta para evaluar el caso.","fotos claras; numero de compra; fecha de recepcion","prometer reembolso inmediato sin revisar"
Producto equivocado,Confirmar error,"Gracias por avisar. Pasanos foto del producto recibido y numero de compra para comparar con el pedido.","foto; numero de compra; detalle pedido","discutir con el cliente"
No era compatible,Validar datos,"Revisemos compatibilidad. Pasanos modelo, medida o version exacta y foto de referencia.","modelo; medida; foto; numero de compra","aceptar culpa sin validar datos"
Quiere devolver sin motivo,Explicar proceso,"Podemos indicarte el proceso de devolucion segun las condiciones de la compra. Escribinos desde el canal oficial.","numero de compra; motivo","pedir datos personales fuera de canal"
Pide cambio de talle,Ver stock,"Lo vemos. Pasanos talle recibido y talle que necesitas para confirmar disponibilidad.","talle recibido; talle requerido; numero de compra","reservar stock sin confirmar"
Se arrepintio,Guiar sin friccion,"Entendemos. Gestiona la solicitud desde la compra para que quede todo registrado correctamente.","numero de compra si corresponde","presionar al cliente"
Producto usado con falla,Diferenciar uso o defecto,"Para revisar el caso necesitamos fotos/video del problema y detalle de uso desde la compra.","video; fotos; fecha; numero de compra","dar diagnostico tecnico sin evidencia"
Reclamo agresivo,Bajar tension,"Queremos ayudarte. Para resolverlo necesitamos revisar datos concretos de la compra. Enviamos pasos por el canal correspondiente.","numero de compra; descripcion breve","responder en el mismo tono"
Demora en respuesta,Recuperar confianza,"Gracias por la paciencia. Ya estamos revisando tu caso y te respondemos con el siguiente paso.","numero de compra; canal previo","hacer promesas vagas"
Falta accesorio,Verificar contenido,"Revisemos el contenido enviado. Pasanos foto de todo lo recibido y etiqueta del paquete.","foto contenido; etiqueta; numero de compra","asumir faltante sin revisar"
Quiere garantia,Confirmar cobertura,"Podemos revisar garantia. Envia comprobante, fotos y detalle de la falla para evaluar si aplica.","comprobante; fotos; falla; fecha","prometer cobertura total"
Problema de factura,Corregir si corresponde,"Revisamos la facturacion con los datos cargados en la compra. Pasanos numero de operacion y dato a verificar.","numero de compra; dato fiscal","cambiar datos sin respaldo"
Pago no acreditado,Derivar seguro,"Los pagos se verifican por la plataforma o medio de pago. Revisa el estado y envianos captura si figura aprobado.","captura; fecha; medio","pedir claves o datos sensibles"
Compra duplicada,Ordenar operaciones,"Revisemos ambas operaciones para indicar el paso correcto. Pasanos numeros de compra.","numeros de compra","cancelar sin confirmar"
